MATERIAL_ID,0,1,2,3,4,5,6,7,8
3,,,Insulation:,80gm insulation at main body hood sleeves,,Collection: Freedom Series,,,
9,,MATERIAL/TRIM,DESCRIPTION,LOCATION,QTY,TBD,TBD,TBD,TBD
10,,,,,FABRICS & LININGS,,,,
11,A,Shell Fabric,SOTP069-C1-H 100% Polyester 15K/10K DWR+BREATHABLE COATING (supplied by SOLIS),"Main body, hood, sleeves, pockets, sleeve tabs, back neck self fabric patch",,TBD,TBD,TBD,TBD
12,B,Lining,210T-E EMB07 Terry Emboss Taffeta (Supplied by Ecoya),"Front and back body, Powder skirt, pocket bag, sleeve lining,  hood",,TBD,TBD,TBD,TBD
13,C,Other , Velvety Tricot - SOTO048-1 (supplied by Solis),"comfort chin guard, inner front pocket bag panel",,TBD,TBD,TBD,TBD
14,D,Other,100% poly MESH - SOTC025-1 (supplied by Solis),"vents, large internal goggle pocket",,TBD,TBD,TBD,TBD
15,E,Other,nylon/elastic lycra - SONO029-1 (supplied by Solis),"powder skirt, hood drawcord tunnel, wrist gaiter",,TBD,TBD,TBD,TBD
16,F,Other,Lycra binding tape,Internal mesh pocket opening,,BLACK,BLACK,BLACK,BLACK
17,G,Other,Gripper elastic,powder skirt,,BLACK,BLACK,BLACK,BLACK
18,H,Other,Clear PVC,Pass pocket window opening at outside of powder skirt,,CLEAR,CLEAR,CLEAR,CLEAR
19,I,Insulation,80gm Insulation,"Main body, hood, sleeves",,WHITE,WHITE,WHITE,WHITE
20,J,Pellon,lightweight interfacing (item# TBD),"Inner storm flap, powder skirt closure flaps",,WHITE,WHITE,WHITE,WHITE
21,K,Pellon,heavyweight interfacing (item# TBD),hood brim,,WHITE,WHITE,WHITE,WHITE
23,,,,,ZIPPERS,,,,
24,AA,Zipper,"YKK No.5 METALUX VISLON zipper,auto-lock sliders DA8LH, Right hand puller,Left hand insert ",(1)C.F.,1,TBD,TBD,TBD,TBD
25,BB,Zipper,YKK No.5 NYLON COIL  zipper.  Auto-lock puller DA8LH1. (ZIP CLOSES DOWN), (2) Hand pockets,2,TBD,TBD,TBD,TBD
26,CC,Zipper,"YKK  No.5 nylon coil zippers,1-way hidden chain.  Auto-lock slider DA8LH1 (ZIPPERS CLOSE DOWN)", (2)vents,2,TBD,TBD,TBD,TBD
27,DD,Zipper,"YKK No.5 nylon coil open end, hidden chain zipper, auto-lock slider DA8LH",Removable Powder Skirt,1,TBD,TBD,TBD,TBD
28,EE,Zipper,"YKK  No.5 nylon coil zippers hidden chain ,auto-lock slider DA8LH1 (zip closes UP)",(1) Napoleon pocket ,1,TBD,TBD,TBD,TBD
29,FF,Zipper Pull,ABZP_01 Utility cord zipper pullers with tied end  (supplied by Wei Rong),"(2) pockets, (1) C.F. (2) vents, (1)Napoleon pocket",6,TBD,TBD,TBD,TBD
32,HH,Velcro,hook; L: 3.8 .cm x H: 1.6cm,cuff adjustment tab,2,TBD,TBD,TBD,TBD
33,II,Velcro,Loop; L: 8cm x H: 1.6cm,cuff adjustment at cuff,2,TBD,TBD,TBD,TBD
34,JJ,Velcro,Hook and Loop; W: 1.6 cm x H: 5cm,(4)Storm flap,4,TBD,TBD,TBD,TBD
35,KK,Velcro,hook and loop,pass pocket at powder skirt,1,TBD,TBD,TBD,TBD
36,LL,Hand Pulls,Round Barrel stopper - K-018 ," (2) hood, (2) waistband adjustment",2,TBD,TBD,TBD,TBD
37,MM,Webbing,"Flat Webbing Tape, 8mm", key clip attachment at inside wearer's right pocket,1,BLACK,BLACK,BLACK,BLACK
38,NN,Webbing,flat webbing tape 2cm width,pass pocket pull tab,1,BLACK,BLACK,BLACK,BLACK
39,PP,Hardware,"metal eyelets, 12mm  (incl. washers)",(4) at hood opening,4,TBD,TBD,TBD,TBD
40,QQ,Hardware,"Snap Buttons ABSNP_01 (sets), 17mm  (incl. washers)","(1) snap tabs at inside bottom hem,  (2) at powder skirt",3,TBD,TBD,TBD,TBD
41,SS,Hardware,"Snap Buttons ABSNP_01 (MALE SIDE ONLY), 17mm  (incl. washers)",(2) powder skirt,2,TBD,TBD,TBD,TBD
42,TT, Drawcord,Flat Shoelace drawcord WITH Black Oxidize finish METAL ENDS  w: 1 cm ,"Hood Opening, (1) waist adjustment",2,TBD,TBD,TBD,TBD
43,UU,Key Clip,plastic key clip attched with webbing loop,Inside wearers right pocket.,1,BLACK,BLACK,BLACK,BLACK
44,VV,Main Label,TBD,"inside c.b. neck, see Q/A for details",1,TBD,TBD,TBD,TBD
45,WW,Size Label,ABWV_69V Vietnam Size label,sewn in and centered below ABWV_109,1,TBD,TBD,TBD,TBD
46,XX,W/C Label,Satin Label with print,"wearer's left side seam, 10 cm up from bottom edge",1,BLACK,BLACK,BLACK,BLACK
47,YY,ABWVLP_01 Woven loop,ABWVLP_01 (Supplied by SML),inside center back neck seam,1,TBD,TBD,TBD,TBD
48,ZZ,Branding,TBD,TBD,1,TBD,TBD,TBD,TBD
49,AAA,Branding,TBD,TBD,1,TBD,TBD,TBD,TBD
52,BBB,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD
53,CCC,HANGTAG,TBD,TBD,1,TBD,TBD,TBD,TBD
54,DDD,polybag w/ warning matter,Airpill Logo Print:  16 cm,centered on poly bag,1,CLEAR,CLEAR,CLEAR,CLEAR
55,EEE,Country of Origin sticker (supplied by your side),Made in China sticker,Centered above UPC sticker,1,TBD,TBD,TBD,TBD
56,FFF,UPC sticker (supplied by your side),Sticker width 3.5 cm,Lookers right bottom corner,1,TBD,TBD,TBD,TBD
61,3,ZIPPER DIRECTION:,"CF has right hand slider, pocket zippers close down, vents zips close DOWN",,,,,,
63,5,HEAT CUT:,"Elastic, webbing, taffeta",,,,,,
